rule_id,rule_name,severity,MunID,Municipality,Property Class,Tax Ratio,base_lt_rate,LT/ST Tax Rate,expected_rate,detail
R06,Within-municipality rate consistency,warning,54036,Armstrong Tp,Multi-Residential,2.325943,0.01029851,0.0230217,0.02395374724493,Multi-Residential LT rate 0.023022 does not equal residential base 0.010299 * tax ratio 2.3259 = 0.023954
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Industrial,1.961817,0.03538599,0.06792731,0.06942083674383,Industrial LT rate 0.067927 does not equal residential base 0.035386 * tax ratio 1.9618 = 0.069421
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Industrial,1.961817,0.03538599,0.06792731,0.06942083674383,Industrial LT rate 0.067927 does not equal residential base 0.035386 * tax ratio 1.9618 = 0.069421
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Large Industrial,3.188398,0.03538599,0.11039729,0.11282461974401999,Large Industrial LT rate 0.110397 does not equal residential base 0.035386 * tax ratio 3.1884 = 0.112825
R06,Within-municipality rate consistency,warning,56037,Cochrane T,Multi-Residential,2.061698,0.0164075,0.03235249,0.033827309934999994,Multi-Residential LT rate 0.032352 does not equal residential base 0.016408 * tax ratio 2.0617 = 0.033827
R06,Within-municipality rate consistency,warning,58034,Dorion Tp,Commercial,2.408902,0.01403577,0.03265235,0.03381079442454,Commercial LT rate 0.032652 does not equal residential base 0.014036 * tax ratio 2.4089 = 0.033811
R06,Within-municipality rate consistency,warning,9007,Drummond-North Elmsley Tp,Multi-Residential,2.021461,0.00406935,0.00788845,0.00822603232035,Multi-Residential LT rate 0.007888 does not equal residential base 0.004069 * tax ratio 2.0215 = 0.008226
R06,Within-municipality rate consistency,warning,60025,Dryden C,Industrial,1.481125,0.01661285,0.02427013,0.024605707456249997,Industrial LT rate 0.02427 does not equal residential base 0.016613 * tax ratio 1.4811 = 0.024606
R06,Within-municipality rate consistency,warning,60025,Dryden C,Industrial,1.481125,0.01661285,0.02427013,0.024605707456249997,Industrial LT rate 0.02427 does not equal residential base 0.016613 * tax ratio 1.4811 = 0.024606
R06,Within-municipality rate consistency,warning,60025,Dryden C,Large Industrial,5.723613,0.01661285,0.0937887,0.09508552422705,Large Industrial LT rate 0.093789 does not equal residential base 0.016613 * tax ratio 5.7236 = 0.095086
R06,Within-municipality rate consistency,warning,52026,Espanola T,Industrial,2.317082,0.01566927,0.03587684,0.03630698347014,Industrial LT rate 0.035877 does not equal residential base 0.015669 * tax ratio 2.3171 = 0.036307
R06,Within-municipality rate consistency,warning,52026,Espanola T,Industrial,2.317082,0.01566927,0.03587684,0.03630698347014,Industrial LT rate 0.035877 does not equal residential base 0.015669 * tax ratio 2.3171 = 0.036307
R06,Within-municipality rate consistency,warning,52026,Espanola T,Large Industrial,7.5,0.01566927,0.11612723,0.11751952499999999,Large Industrial LT rate 0.116127 does not equal residential base 0.015669 * tax ratio 7.5 = 0.11752
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Multi-Residential,2.187709,0.01946508,0.04074297,0.042583930701719994,Multi-Residential LT rate 0.040743 does not equal residential base 0.019465 * tax ratio 2.1877 = 0.042584
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Commercial,1.94352,0.01946508,0.03664286,0.0378307722816,Commercial LT rate 0.036643 does not equal residential base 0.019465 * tax ratio 1.9435 = 0.037831
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Commercial,1.94352,0.01946508,0.06107144,0.0378307722816,Commercial LT rate 0.061071 does not equal residential base 0.019465 * tax ratio 1.9435 = 0.037831
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Commercial,1.94352,0.01946508,0.03664286,0.0378307722816,Commercial LT rate 0.036643 does not equal residential base 0.019465 * tax ratio 1.9435 = 0.037831
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Parking Lot,1.94352,0.01946508,0.03664286,0.0378307722816,Parking Lot LT rate 0.036643 does not equal residential base 0.019465 * tax ratio 1.9435 = 0.037831
