rule_id,rule_name,severity,MunID,Municipality,Property Class,Tax Ratio,base_lt_rate,LT/ST Tax Rate,expected_rate,detail
R06,Within-municipality rate consistency,warning,47041,Admaston-Bromley Tp,Industrial,2.865692,0.00624997,0.017673,0.01791048902924,Industrial LT rate 0.017673 does not equal residential base 0.00625 * tax ratio 2.8657 = 0.01791
R06,Within-municipality rate consistency,warning,47041,Admaston-Bromley Tp,Industrial,2.865692,0.00624997,0.017673,0.01791048902924,Industrial LT rate 0.017673 does not equal residential base 0.00625 * tax ratio 2.8657 = 0.01791
R06,Within-municipality rate consistency,warning,47041,Admaston-Bromley Tp,"Industrial, NConstr.",2.865692,0.00624997,0.017673,0.01791048902924,"Industrial, NConstr. LT rate 0.017673 does not equal residential base 0.00625 * tax ratio 2.8657 = 0.01791"
R06,Within-municipality rate consistency,warning,2030,Alfred and Plantagenet Tp,Industrial,2.721517,0.00668198,0.01785061,0.01818512216366,Industrial LT rate 0.017851 does not equal residential base 0.006682 * tax ratio 2.7215 = 0.018185
R06,Within-municipality rate consistency,warning,2030,Alfred and Plantagenet Tp,Industrial,2.721517,0.00668198,0.01785061,0.01818512216366,Industrial LT rate 0.017851 does not equal residential base 0.006682 * tax ratio 2.7215 = 0.018185
R06,Within-municipality rate consistency,warning,2030,Alfred and Plantagenet Tp,"Industrial, NConstr.",2.721517,0.00668198,0.01785061,0.01818512216366,"Industrial, NConstr. LT rate 0.017851 does not equal residential base 0.006682 * tax ratio 2.7215 = 0.018185"
R06,Within-municipality rate consistency,warning,54036,Armstrong Tp,Multi-Residential,2.428134,0.00971612,0.02428434,0.02359204132008,Multi-Residential LT rate 0.024284 does not equal residential base 0.009716 * tax ratio 2.4281 = 0.023592
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Industrial,2.091556,0.03173158,0.06498803,0.06636837653848002,Industrial LT rate 0.064988 does not equal residential base 0.031732 * tax ratio 2.0916 = 0.066368
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Industrial,2.091556,0.03173158,0.06498803,0.06636837653848002,Industrial LT rate 0.064988 does not equal residential base 0.031732 * tax ratio 2.0916 = 0.066368
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Large Industrial,3.399253,0.03173158,0.1056203,0.10786366850974001,Large Industrial LT rate 0.10562 does not equal residential base 0.031732 * tax ratio 3.3993 = 0.107864
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,"Industrial, NConstr.",2.091556,0.03173158,0.06498803,0.06636837653848002,"Industrial, NConstr. LT rate 0.064988 does not equal residential base 0.031732 * tax ratio 2.0916 = 0.066368"
R06,Within-municipality rate consistency,warning,12005,Belleville C,Multi-Residential,2.2390309999999998,0.0093033,0.01957753,0.0208303771023,Multi-Residential LT rate 0.019578 does not equal residential base 0.009303 * tax ratio 2.239 = 0.02083
R06,Within-municipality rate consistency,warning,32045,Blandford - Blenheim Tp,Multi-Residential,2.185,0.00406991,0.00851676,0.008892753350000001,Multi-Residential LT rate 0.008517 does not equal residential base 0.00407 * tax ratio 2.185 = 0.008893
R06,Within-municipality rate consistency,warning,47015,Bonnechere Valley Tp,Industrial,2.865692,0.00663425,0.01868362,0.019011717151,Industrial LT rate 0.018684 does not equal residential base 0.006634 * tax ratio 2.8657 = 0.019012
R06,Within-municipality rate consistency,warning,47015,Bonnechere Valley Tp,Industrial,2.865692,0.00663425,0.01868362,0.019011717151,Industrial LT rate 0.018684 does not equal residential base 0.006634 * tax ratio 2.8657 = 0.019012
R06,Within-municipality rate consistency,warning,47015,Bonnechere Valley Tp,"Industrial, NConstr.",2.865692,0.00663425,0.01868362,0.019011717151,"Industrial, NConstr. LT rate 0.018684 does not equal residential base 0.006634 * tax ratio 2.8657 = 0.019012"
R06,Within-municipality rate consistency,warning,47018,"Brudenell, Lyndoch and Raglan Tp",Industrial,2.865692,0.00583414,0.01647379,0.01671884832488,Industrial LT rate 0.016474 does not equal residential base 0.005834 * tax ratio 2.8657 = 0.016719
R06,Within-municipality rate consistency,warning,48022,Calvin Tp,Industrial,2.694059,0.01087866,0.02864312,0.02930775188094,Industrial LT rate 0.028643 does not equal residential base 0.010879 * tax ratio 2.6941 = 0.029308
R06,Within-municipality rate consistency,warning,2044,Casselman M,Industrial,2.721517,0.00606389,0.01634073,0.01650297972113,Industrial LT rate 0.016341 does not equal residential base 0.006064 * tax ratio 2.7215 = 0.016503
R06,Within-municipality rate consistency,warning,2005,Champlain Tp,Industrial,2.721517,0.00593396,0.01572044,0.01614937301732,Industrial LT rate 0.01572 does not equal residential base 0.005934 * tax ratio 2.7215 = 0.016149
R06,Within-municipality rate consistency,warning,2005,Champlain Tp,Industrial,2.721517,0.00593396,0.01572044,0.01614937301732,Industrial LT rate 0.01572 does not equal residential base 0.005934 * tax ratio 2.7215 = 0.016149
R06,Within-municipality rate consistency,warning,2005,Champlain Tp,Large Industrial,3.657094,0.00593396,0.02112468,0.02170104951224,Large Industrial LT rate 0.021125 does not equal residential base 0.005934 * tax ratio 3.6571 = 0.021701
R06,Within-municipality rate consistency,warning,2005,Champlain Tp,"Industrial, NConstr.",2.721517,0.00593396,0.01572044,0.01614937301732,"Industrial, NConstr. LT rate 0.01572 does not equal residential base 0.005934 * tax ratio 2.7215 = 0.016149"
R06,Within-municipality rate consistency,warning,2036,Clarence-Rockland C,Industrial,2.721517,0.00667195,0.01790026,0.01815782534815,Industrial LT rate 0.0179 does not equal residential base 0.006672 * tax ratio 2.7215 = 0.018158
R06,Within-municipality rate consistency,warning,2036,Clarence-Rockland C,Industrial,2.721517,0.00667195,0.01790026,0.01815782534815,Industrial LT rate 0.0179 does not equal residential base 0.006672 * tax ratio 2.7215 = 0.018158
R06,Within-municipality rate consistency,warning,2036,Clarence-Rockland C,"Industrial, NConstr.",2.721517,0.00667195,0.01790026,0.01815782534815,"Industrial, NConstr. LT rate 0.0179 does not equal residential base 0.006672 * tax ratio 2.7215 = 0.018158"
R06,Within-municipality rate consistency,warning,56037,Cochrane T,Multi-Residential,2.416873,0.01437231,0.03353387,0.03473604798663,Multi-Residential LT rate 0.033534 does not equal residential base 0.014372 * tax ratio 2.4169 = 0.034736
R06,Within-municipality rate consistency,warning,1012,Cornwall C,Multi-Residential,2.197076,0.01466844,0.03112779,0.03222767748144,Multi-Residential LT rate 0.031128 does not equal residential base 0.014668 * tax ratio 2.1971 = 0.032228
R06,Within-municipality rate consistency,warning,58034,Dorion Tp,Commercial,2.455502,0.01326149,0.0320108,0.032563615217980006,Commercial LT rate 0.032011 does not equal residential base 0.013261 * tax ratio 2.4555 = 0.032564
R06,Within-municipality rate consistency,warning,60025,Dryden C,Industrial,1.5,0.01583049,0.02350643,0.023745734999999997,Industrial LT rate 0.023506 does not equal residential base 0.01583 * tax ratio 1.5 = 0.023746
R06,Within-municipality rate consistency,warning,60025,Dryden C,Industrial,1.5,0.01583049,0.02350643,0.023745734999999997,Industrial LT rate 0.023506 does not equal residential base 0.01583 * tax ratio 1.5 = 0.023746
R06,Within-municipality rate consistency,warning,60025,Dryden C,Large Industrial,7.964602,0.01583049,0.12481292,0.12608355231498,Large Industrial LT rate 0.124813 does not equal residential base 0.01583 * tax ratio 7.9646 = 0.126084
R06,Within-municipality rate consistency,warning,57079,Dubreuilville Tp,Large Industrial,2.903479,0.03369439,0.09304249,0.09783095378281,Large Industrial LT rate 0.093042 does not equal residential base 0.033694 * tax ratio 2.9035 = 0.097831
R06,Within-municipality rate consistency,warning,2001,East Hawkesbury Tp,Industrial,2.721517,0.00477311,0.01290563,0.012990100007869999,Industrial LT rate 0.012906 does not equal residential base 0.004773 * tax ratio 2.7215 = 0.01299
R06,Within-municipality rate consistency,warning,2001,East Hawkesbury Tp,Industrial,2.721517,0.00477311,0.01290563,0.012990100007869999,Industrial LT rate 0.012906 does not equal residential base 0.004773 * tax ratio 2.7215 = 0.01299
R06,Within-municipality rate consistency,warning,2001,East Hawkesbury Tp,"Industrial, NConstr.",2.721517,0.00477311,0.01290563,0.012990100007869999,"Industrial, NConstr. LT rate 0.012906 does not equal residential base 0.004773 * tax ratio 2.7215 = 0.01299"
R06,Within-municipality rate consistency,warning,52026,Espanola T,Multi-Residential,2.008511,0.01540777,0.03074332,0.030946675530469998,Multi-Residential LT rate 0.030743 does not equal residential base 0.015408 * tax ratio 2.0085 = 0.030947
R06,Within-municipality rate consistency,warning,56052,Fauquier-Strickland Tp,Multi-Residential,1.2488,0.01578138,0.01578138,0.019707787344,Multi-Residential LT rate 0.015781 does not equal residential base 0.015781 * tax ratio 1.2488 = 0.019708
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Multi-Residential,2.55397,0.01682625,0.04143459,0.0429737377125,Multi-Residential LT rate 0.041435 does not equal residential base 0.016826 * tax ratio 2.554 = 0.042974
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Commercial,1.967217,0.01682625,0.03227896,0.03310088504625,Commercial LT rate 0.032279 does not equal residential base 0.016826 * tax ratio 1.9672 = 0.033101
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Commercial,1.967217,0.01682625,0.05379828,0.03310088504625,Commercial LT rate 0.053798 does not equal residential base 0.016826 * tax ratio 1.9672 = 0.033101
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Commercial,1.967217,0.01682625,0.03227896,0.03310088504625,Commercial LT rate 0.032279 does not equal residential base 0.016826 * tax ratio 1.9672 = 0.033101
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Office Building,1.967217,0.01682625,0.03227896,0.03310088504625,Office Building LT rate 0.032279 does not equal residential base 0.016826 * tax ratio 1.9672 = 0.033101
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Industrial,2.823341,0.01682625,0.0466555,0.047506241501250004,Industrial LT rate 0.046656 does not equal residential base 0.016826 * tax ratio 2.8233 = 0.047506
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Industrial,2.823341,0.01682625,0.0466555,0.047506241501250004,Industrial LT rate 0.046656 does not equal residential base 0.016826 * tax ratio 2.8233 = 0.047506
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,Large Industrial,7.240504,0.01682625,0.11964878,0.12183053043,Large Industrial LT rate 0.119649 does not equal residential base 0.016826 * tax ratio 7.2405 = 0.121831
R06,Within-municipality rate consistency,warning,59012,Fort Frances T,"Commercial, NConstr.",1.967217,0.01682625,0.03227896,0.03310088504625,"Commercial, NConstr. LT rate 0.032279 does not equal residential base 0.016826 * tax ratio 1.9672 = 0.033101"
R06,Within-municipality rate consistency,warning,53005,Greater Sudbury C,Industrial,3.795,0.010564,0.03936491,0.04009038,Industrial LT rate 0.039365 does not equal residential base 0.010564 * tax ratio 3.795 = 0.04009
R06,Within-municipality rate consistency,warning,53005,Greater Sudbury C,Industrial,3.795,0.010564,0.03936491,0.04009038,Industrial LT rate 0.039365 does not equal residential base 0.010564 * tax ratio 3.795 = 0.04009
R06,Within-municipality rate consistency,warning,53005,Greater Sudbury C,Large Industrial,4.40516,0.010564,0.045694,0.046536110240000005,Large Industrial LT rate 0.045694 does not equal residential base 0.010564 * tax ratio 4.4052 = 0.046536
R06,Within-municipality rate consistency,warning,53005,Greater Sudbury C,"Industrial, NConstr.",3.795,0.010564,0.03936491,0.04009038,"Industrial, NConstr. LT rate 0.039365 does not equal residential base 0.010564 * tax ratio 3.795 = 0.04009"
R06,Within-municipality rate consistency,warning,53005,Greater Sudbury C,"Large Ind., NConstr.",4.40516,0.010564,0.045694,0.046536110240000005,"Large Ind., NConstr. LT rate 0.045694 does not equal residential base 0.010564 * tax ratio 4.4052 = 0.046536"
R06,Within-municipality rate consistency,warning,2008,Hawkesbury T,Industrial,2.721517,0.01079891,0.02881273,0.02938941714647,Industrial LT rate 0.028813 does not equal residential base 0.010799 * tax ratio 2.7215 = 0.029389
R06,Within-municipality rate consistency,warning,2008,Hawkesbury T,Industrial,2.721517,0.01079891,0.02881273,0.02938941714647,Industrial LT rate 0.028813 does not equal residential base 0.010799 * tax ratio 2.7215 = 0.029389
R06,Within-municipality rate consistency,warning,2008,Hawkesbury T,Large Industrial,3.657094,0.01079891,0.03871769,0.03949262896754,Large Industrial LT rate 0.038718 does not equal residential base 0.010799 * tax ratio 3.6571 = 0.039493
R06,Within-municipality rate consistency,warning,2008,Hawkesbury T,"Industrial, NConstr.",2.721517,0.01079891,0.02881273,0.02938941714647,"Industrial, NConstr. LT rate 0.028813 does not equal residential base 0.010799 * tax ratio 2.7215 = 0.029389"
R06,Within-municipality rate consistency,warning,2008,Hawkesbury T,"Large Ind., NConstr.",3.657094,0.01079891,0.03871769,0.03949262896754,"Large Ind., NConstr. LT rate 0.038718 does not equal residential base 0.010799 * tax ratio 3.6571 = 0.039493"
R06,Within-municipality rate consistency,warning,47098,"Head, Clara and Maria Tp",Industrial,2.865692,0.00246947,0.00686949,0.007076740423240001,Industrial LT rate 0.006869 does not equal residential base 0.002469 * tax ratio 2.8657 = 0.007077
R06,Within-municipality rate consistency,warning,47098,"Head, Clara and Maria Tp",Industrial,2.865692,0.00246947,0.00686949,0.007076740423240001,Industrial LT rate 0.006869 does not equal residential base 0.002469 * tax ratio 2.8657 = 0.007077
R06,Within-municipality rate consistency,warning,47046,Horton Tp,Industrial,2.865692,0.00545926,0.01544073,0.01564455770792,Industrial LT rate 0.015441 does not equal residential base 0.005459 * tax ratio 2.8657 = 0.015645
R06,Within-municipality rate consistency,warning,47046,Horton Tp,Industrial,2.865692,0.00545926,0.01544073,0.01564455770792,Industrial LT rate 0.015441 does not equal residential base 0.005459 * tax ratio 2.8657 = 0.015645
R06,Within-municipality rate consistency,warning,32018,Ingersoll T,Multi-Residential,2.185,0.00925739,0.01984939,0.020227397150000003,Multi-Residential LT rate 0.019849 does not equal residential base 0.009257 * tax ratio 2.185 = 0.020227
R06,Within-municipality rate consistency,warning,56031,Iroquois Falls T,Multi-Residential,2.17402,0.02074931,0.04418439,0.0451094149262,Multi-Residential LT rate 0.044184 does not equal residential base 0.020749 * tax ratio 2.174 = 0.045109
R06,Within-municipality rate consistency,warning,56031,Iroquois Falls T,Industrial,2.389653,0.02074931,0.04907527,0.04958365088943,Industrial LT rate 0.049075 does not equal residential base 0.020749 * tax ratio 2.3897 = 0.049584
R06,Within-municipality rate consistency,warning,56031,Iroquois Falls T,Industrial,2.389653,0.02074931,0.04907527,0.04958365088943,Industrial LT rate 0.049075 does not equal residential base 0.020749 * tax ratio 2.3897 = 0.049584
R06,Within-municipality rate consistency,warning,56031,Iroquois Falls T,Large Industrial,5.509469,0.02074931,0.11314557,0.11431768021639001,Large Industrial LT rate 0.113146 does not equal residential base 0.020749 * tax ratio 5.5095 = 0.114318
R06,Within-municipality rate consistency,warning,60011,Kenora C,Commercial,2.152164,0.01211057,0.02560421,0.026063932773479997,Commercial LT rate 0.025604 does not equal residential base 0.012111 * tax ratio 2.1522 = 0.026064
R06,Within-municipality rate consistency,warning,60011,Kenora C,Commercial,2.152164,0.01211057,0.02560421,0.026063932773479997,Commercial LT rate 0.025604 does not equal residential base 0.012111 * tax ratio 2.1522 = 0.026064
R06,Within-municipality rate consistency,warning,60011,Kenora C,Parking Lot,1.7691,0.01211057,0.02104691,0.021424809386999998,Parking Lot LT rate 0.021047 does not equal residential base 0.012111 * tax ratio 1.7691 = 0.021425
R06,Within-municipality rate consistency,warning,60011,Kenora C,Office Building,2.6007730000000002,0.01211057,0.03094129,0.03149684347061,Office Building LT rate 0.030941 does not equal residential base 0.012111 * tax ratio 2.6008 = 0.031497
R06,Within-municipality rate consistency,warning,60011,Kenora C,Shopping Centre,3.05767,0.01211057,0.03637698,0.037030126571899996,Shopping Centre LT rate 0.036377 does not equal residential base 0.012111 * tax ratio 3.0577 = 0.03703
R06,Within-municipality rate consistency,warning,60011,Kenora C,"Commercial, NConstr.",2.152164,0.01211057,0.02560421,0.026063932773479997,"Commercial, NConstr. LT rate 0.025604 does not equal residential base 0.012111 * tax ratio 2.1522 = 0.026064"
R06,Within-municipality rate consistency,warning,52003,Killarney M,Commercial,1.7740960000000001,0.00803325,0.01025946,0.014251756692000002,Commercial LT rate 0.010259 does not equal residential base 0.008033 * tax ratio 1.7741 = 0.014252
R06,Within-municipality rate consistency,warning,52003,Killarney M,"Commercial, NConstr.",1.7740960000000001,0.00803325,0.01025946,0.014251756692000002,"Commercial, NConstr. LT rate 0.010259 does not equal residential base 0.008033 * tax ratio 1.7741 = 0.014252"
R06,Within-municipality rate consistency,warning,52003,Killarney M,"Commercial, NConstr.",1.7740960000000001,0.00803325,0.0170991,0.014251756692000002,"Commercial, NConstr. LT rate 0.017099 does not equal residential base 0.008033 * tax ratio 1.7741 = 0.014252"
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,Commercial,2.202647,0.00703052,0.01474723,0.01548575378644,Commercial LT rate 0.014747 does not equal residential base 0.007031 * tax ratio 2.2026 = 0.015486
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,Commercial,2.202647,0.02008633,0.04213494,0.04424309451550999,Commercial LT rate 0.042135 does not equal residential base 0.020086 * tax ratio 2.2026 = 0.044243
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,Commercial,2.202647,0.02008633,0.04213494,0.04424309451550999,Commercial LT rate 0.042135 does not equal residential base 0.020086 * tax ratio 2.2026 = 0.044243
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,Parking Lot,2.202647,0.02008633,0.04213494,0.04424309451550999,Parking Lot LT rate 0.042135 does not equal residential base 0.020086 * tax ratio 2.2026 = 0.044243
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,Shopping Centre,2.202647,0.02008633,0.04213494,0.04424309451550999,Shopping Centre LT rate 0.042135 does not equal residential base 0.020086 * tax ratio 2.2026 = 0.044243
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,Industrial,4.056718,0.02008633,0.02869567,0.08148457646493999,Industrial LT rate 0.028696 does not equal residential base 0.020086 * tax ratio 4.0567 = 0.081485
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,Industrial,4.056718,0.02008633,0.31884082,0.08148457646493999,Industrial LT rate 0.318841 does not equal residential base 0.020086 * tax ratio 4.0567 = 0.081485
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,Industrial,4.056718,0.02008633,0.02869567,0.08148457646493999,Industrial LT rate 0.028696 does not equal residential base 0.020086 * tax ratio 4.0567 = 0.081485
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,"Industrial, NConstr.",4.056718,0.02008633,0.02869567,0.08148457646493999,"Industrial, NConstr. LT rate 0.028696 does not equal residential base 0.020086 * tax ratio 4.0567 = 0.081485"
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,"Industrial, NConstr.",4.056718,0.02008633,0.31884082,0.08148457646493999,"Industrial, NConstr. LT rate 0.318841 does not equal residential base 0.020086 * tax ratio 4.0567 = 0.081485"
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,"Commercial, NConstr.",2.202647,0.02008633,0.04213494,0.04424309451550999,"Commercial, NConstr. LT rate 0.042135 does not equal residential base 0.020086 * tax ratio 2.2026 = 0.044243"
R06,Within-municipality rate consistency,warning,54068,Kirkland Lake T,"Office Build., NConstr.",2.202647,0.02008633,0.04213494,0.04424309451550999,"Office Build., NConstr. LT rate 0.042135 does not equal residential base 0.020086 * tax ratio 2.2026 = 0.044243"
R06,Within-municipality rate consistency,warning,9033,Lanark Highlands Tp,Multi-Residential,2.215258,0.00549631,0.01211179,0.012175744697979999,Multi-Residential LT rate 0.012112 does not equal residential base 0.005496 * tax ratio 2.2153 = 0.012176
