rule_id,rule_name,severity,MunID,Municipality,Property Class,RTC/RTQ,CVA Assessment,Phase-In Taxable Assessment,excess,detail
R05,Phase-In <= CVA,error,7015,Brockville C,Residential,RD,242000.0,898000.0,656000.0,Phase-In assessment exceeds CVA by $656000
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Residential,RT,45900.0,6569826033.0,6569780133.0,Phase-In assessment exceeds CVA by $6569780133
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Multi-Residential,MT,34808000.0,185968509.0,151160509.0,Phase-In assessment exceeds CVA by $151160509
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Farmland,FT,296200.0,5311001854.0,5310705654.0,Phase-In assessment exceeds CVA by $5310705654
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Managed Forest,TT,2796600.0,2958380.0,161780.0,Phase-In assessment exceeds CVA by $161780
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Commercial,CT,2803900.0,636605778.0,633801878.0,Phase-In assessment exceeds CVA by $633801878
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Commercial,CH,539000.0,3609099.0,3070099.0,Phase-In assessment exceeds CVA by $3070099
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Commercial,CU,3107400.0,9603005.0,6495605.0,Phase-In assessment exceeds CVA by $6495605
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Commercial,CX,721000.0,13578871.0,12857871.0,Phase-In assessment exceeds CVA by $12857871
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Office Building,DT,153100.0,21256400.0,21103300.0,Phase-In assessment exceeds CVA by $21103300
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Shopping Centre,ST,3317000.0,104896430.0,101579430.0,Phase-In assessment exceeds CVA by $101579430
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Industrial,IT,9000.0,80606032.0,80597032.0,Phase-In assessment exceeds CVA by $80597032
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Industrial,IH,399000.0,1170750.0,771750.0,Phase-In assessment exceeds CVA by $771750
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Large Industrial,LT,3016700.0,33761297.0,30744597.0,Phase-In assessment exceeds CVA by $30744597
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Pipeline,PT,154900.0,149323061.0,149168161.0,Phase-In assessment exceeds CVA by $149168161
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,"Industrial, NConstr.",JU,2500600.0,4761483.0,2260883.0,Phase-In assessment exceeds CVA by $2260883
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,"Large Ind., NConstr.",KT,119200.0,3279500.0,3160300.0,Phase-In assessment exceeds CVA by $3160300
R05,Phase-In <= CVA,error,36003,Chatham-Kent M,Landfill,HT,1659600.0,2500600.0,841000.0,Phase-In assessment exceeds CVA by $841000
R05,Phase-In <= CVA,error,32038,East Zorra - Tavistock Tp,Commercial,CT,31585100.0,32888496.0,1303396.0,Phase-In assessment exceeds CVA by $1303396
R05,Phase-In <= CVA,error,32038,East Zorra - Tavistock Tp,Industrial,IX,36500.0,116500.0,80000.0,Phase-In assessment exceeds CVA by $80000
R05,Phase-In <= CVA,error,44002,Gravenhurst T,Commercial,CU,2452500.0,2457766.0,5266.0,Phase-In assessment exceeds CVA by $5266
R05,Phase-In <= CVA,error,40015,Huron East M,Managed Forest,TT,2504200.0,2659967.0,155767.0,Phase-In assessment exceeds CVA by $155767
R05,Phase-In <= CVA,error,58066,Manitouwadge Tp,Large Industrial,LM,4130057.0,4656362.0,526305.0,Phase-In assessment exceeds CVA by $526305
R05,Phase-In <= CVA,error,44000,Muskoka D,Residential,RH,104350.0,38113513.0,38009163.0,Phase-In assessment exceeds CVA by $38009163
R05,Phase-In <= CVA,error,44000,Muskoka D,Commercial,CJ,309500.0,424925.0,115425.0,Phase-In assessment exceeds CVA by $115425
R05,Phase-In <= CVA,error,58007,Oliver Paipoonge M,"Industrial, NConstr.",JT,6571850.0,6572850.0,1000.0,Phase-In assessment exceeds CVA by $1000
R05,Phase-In <= CVA,error,43047,Oro-Medonte Tp,Farmland,FT,269802030.0,270079424.0,277394.0,Phase-In assessment exceeds CVA by $277394
R05,Phase-In <= CVA,error,43047,Oro-Medonte Tp,Commercial,CT,116278740.0,116800698.0,521958.0,Phase-In assessment exceeds CVA by $521958
R05,Phase-In <= CVA,error,43047,Oro-Medonte Tp,Commercial,CU,4132216.0,4258666.0,126450.0,Phase-In assessment exceeds CVA by $126450
R05,Phase-In <= CVA,error,43047,Oro-Medonte Tp,Commercial,CX,3369676.0,3768926.0,399250.0,Phase-In assessment exceeds CVA by $399250
R05,Phase-In <= CVA,error,43047,Oro-Medonte Tp,Industrial,IX,4880372.0,5084946.0,204574.0,Phase-In assessment exceeds CVA by $204574
R05,Phase-In <= CVA,error,40003,South Huron M,Multi-Residential,MT,9019250.0,10023583.0,1004333.0,Phase-In assessment exceeds CVA by $1004333
R05,Phase-In <= CVA,error,40003,South Huron M,Farmland,FT,1103402458.0,1124064440.0,20661982.0,Phase-In assessment exceeds CVA by $20661982
R05,Phase-In <= CVA,error,40003,South Huron M,Commercial,CT,41332282.0,47171428.0,5839146.0,Phase-In assessment exceeds CVA by $5839146
R05,Phase-In <= CVA,error,40003,South Huron M,Commercial,CU,705460.0,741835.0,36375.0,Phase-In assessment exceeds CVA by $36375
R05,Phase-In <= CVA,error,40003,South Huron M,Industrial,IT,10597435.0,11015689.0,418254.0,Phase-In assessment exceeds CVA by $418254
R05,Phase-In <= CVA,error,40003,South Huron M,Industrial,IU,184950.0,185600.0,650.0,Phase-In assessment exceeds CVA by $650
R05,Phase-In <= CVA,error,40003,South Huron M,Industrial,IJ,4100.0,52475.0,48375.0,Phase-In assessment exceeds CVA by $48375
R05,Phase-In <= CVA,error,40003,South Huron M,Large Industrial,LT,1658300.0,1716000.0,57700.0,Phase-In assessment exceeds CVA by $57700
R05,Phase-In <= CVA,error,40003,South Huron M,Farmland,FT,2080804.0,2725631.0,644827.0,Phase-In assessment exceeds CVA by $644827
R05,Phase-In <= CVA,error,40003,South Huron M,Commercial,CU,853429.0,980829.0,127400.0,Phase-In assessment exceeds CVA by $127400
R05,Phase-In <= CVA,error,40003,South Huron M,Industrial,IT,8899575.0,8978575.0,79000.0,Phase-In assessment exceeds CVA by $79000
R05,Phase-In <= CVA,error,40003,South Huron M,"Commercial, NConstr.",XT,10459725.0,10558802.0,99077.0,Phase-In assessment exceeds CVA by $99077
R05,Phase-In <= CVA,error,34021,St Thomas C,Commercial,CH,1553399.0,2896245.0,1342846.0,Phase-In assessment exceeds CVA by $1342846
R05,Phase-In <= CVA,error,34021,St Thomas C,Industrial,IH,185845.0,416625.0,230780.0,Phase-In assessment exceeds CVA by $230780
R05,Phase-In <= CVA,error,34021,St Thomas C,Industrial,IK,149263.0,217500.0,68237.0,Phase-In assessment exceeds CVA by $68237
R05,Phase-In <= CVA,error,32004,Tillsonburg T,Commercial,CT,121055233.0,148007628.0,26952395.0,Phase-In assessment exceeds CVA by $26952395
R05,Phase-In <= CVA,error,32004,Tillsonburg T,Commercial,CU,1097700.0,1195914.0,98214.0,Phase-In assessment exceeds CVA by $98214
R05,Phase-In <= CVA,error,57076,Wawa M,Farmland,FT,269500.0,1058894.0,789394.0,Phase-In assessment exceeds CVA by $789394
R05,Phase-In <= CVA,error,48050,West Nipissing M,"Commercial, NConstr.",XT,9288800.0,9658202.0,369402.0,Phase-In assessment exceeds CVA by $369402
