rule_id,rule_name,severity,MunID,Municipality,Property Class,Tax Ratio,base_lt_rate,LT/ST Tax Rate,expected_rate,detail
R06,Within-municipality rate consistency,warning,47041,Admaston-Bromley Tp,Industrial,2.851674,0.00627313,0.017673,0.01788892171962,Industrial LT rate 0.017673 does not equal residential base 0.006273 * tax ratio 2.8517 = 0.017889
R06,Within-municipality rate consistency,warning,47041,Admaston-Bromley Tp,Industrial,2.851674,0.00627313,0.017673,0.01788892171962,Industrial LT rate 0.017673 does not equal residential base 0.006273 * tax ratio 2.8517 = 0.017889
R06,Within-municipality rate consistency,warning,47041,Admaston-Bromley Tp,"Industrial, NConstr.",2.851674,0.00627313,0.017673,0.01788892171962,"Industrial, NConstr. LT rate 0.017673 does not equal residential base 0.006273 * tax ratio 2.8517 = 0.017889"
R06,Within-municipality rate consistency,warning,54036,Armstrong Tp,Multi-Residential,2.499387,0.00966644,0.0230217,0.02416017447228,Multi-Residential LT rate 0.023022 does not equal residential base 0.009666 * tax ratio 2.4994 = 0.02416
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Industrial,2.048055,0.03220716,0.06477854,0.0659620350738,Industrial LT rate 0.064779 does not equal residential base 0.032207 * tax ratio 2.0481 = 0.065962
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Industrial,2.048055,0.03220716,0.06477854,0.0659620350738,Industrial LT rate 0.064779 does not equal residential base 0.032207 * tax ratio 2.0481 = 0.065962
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Large Industrial,3.328555,0.03220716,0.10527985,0.1072033034538,Large Industrial LT rate 0.10528 does not equal residential base 0.032207 * tax ratio 3.3286 = 0.107203
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,"Industrial, NConstr.",2.048055,0.03220716,0.06477854,0.0659620350738,"Industrial, NConstr. LT rate 0.064779 does not equal residential base 0.032207 * tax ratio 2.0481 = 0.065962"
R06,Within-municipality rate consistency,warning,47015,Bonnechere Valley Tp,Industrial,2.851674,0.00651993,0.01830147,0.01859271486282,Industrial LT rate 0.018301 does not equal residential base 0.00652 * tax ratio 2.8517 = 0.018593
R06,Within-municipality rate consistency,warning,47015,Bonnechere Valley Tp,Industrial,2.851674,0.00651993,0.01830147,0.01859271486282,Industrial LT rate 0.018301 does not equal residential base 0.00652 * tax ratio 2.8517 = 0.018593
R06,Within-municipality rate consistency,warning,47015,Bonnechere Valley Tp,"Industrial, NConstr.",2.851674,0.00651993,0.01830147,0.01859271486282,"Industrial, NConstr. LT rate 0.018301 does not equal residential base 0.00652 * tax ratio 2.8517 = 0.018593"
R06,Within-municipality rate consistency,warning,47018,"Brudenell, Lyndoch and Raglan Tp",Industrial,2.851674,0.00569874,0.01609063,0.01625094869076,Industrial LT rate 0.016091 does not equal residential base 0.005699 * tax ratio 2.8517 = 0.016251
R06,Within-municipality rate consistency,warning,1012,Cornwall C,Multi-Residential,2.113186,0.01479156,0.03033019,0.03125731751016,Multi-Residential LT rate 0.03033 does not equal residential base 0.014792 * tax ratio 2.1132 = 0.031257
R06,Within-municipality rate consistency,warning,47096,Deep River T,Industrial,2.851674,0.00995052,0.02752383,0.02837563917048,Industrial LT rate 0.027524 does not equal residential base 0.009951 * tax ratio 2.8517 = 0.028376
R06,Within-municipality rate consistency,warning,47096,Deep River T,Industrial,2.851674,0.00995052,0.02752383,0.02837563917048,Industrial LT rate 0.027524 does not equal residential base 0.009951 * tax ratio 2.8517 = 0.028376
