MunID,pct_change,year_pair
1000,5.709729986998548,2019-2020
1002,3.923528176917953,2019-2020
1009,5.004321661432025,2019-2020
1012,1.0933742419018662,2019-2020
1016,3.97693117198961,2019-2020
1026,6.358391578377476,2019-2020
1037,5.359731573814134,2019-2020
1047,4.630409361129372,2019-2020
2000,5.542602531685315,2019-2020
2001,6.337861887219111,2019-2020
2005,4.449191218529012,2019-2020
2008,1.8588861637853682,2019-2020
2011,5.735691001989302,2019-2020
2030,4.47239734830852,2019-2020
2036,3.845593427988505,2019-2020
2044,3.687340685660205,2019-2020
2048,7.575132945121639,2019-2020
6005,3.0370693784715543,2019-2020
7000,3.1387145986339284,2019-2020
7003,3.3836839069372173,2019-2020
7006,2.82654603158005,2019-2020
7008,-0.501708101563701,2019-2020
7011,2.493463233693645,2019-2020
7015,0.3327015743000815,2019-2020
7017,2.5937659365542394,2019-2020
7019,4.818067618646278,2019-2020
7024,1.8629831063274527,2019-2020
7030,3.272303354695284,2019-2020
7033,2.869940852983067,2019-2020
7040,1.8436619686227982,2019-2020
7050,3.43152753557135,2019-2020
7055,4.541084769353806,2019-2020
9000,3.4449707429347582,2019-2020
9001,3.7864638809519096,2019-2020
9004,3.3621142104582815,2019-2020
9007,1.8629506162400309,2019-2020
9010,2.5461287750771477,2019-2020
9021,1.5444926661040133,2019-2020
9024,2.6509269890609257,2019-2020
9028,4.362819465318144,2019-2020
9030,3.965003008654069,2019-2020
9033,1.801294102441091,2019-2020
10000,4.947814308227545,2019-2020
10002,3.5907768683795402,2019-2020
10005,3.560730897142029,2019-2020
10013,2.2763332406473538,2019-2020
10025,6.488872283467741,2019-2020
10041,2.439024656346975,2019-2020
11000,4.957396525687869,2019-2020
11002,7.985613222748192,2019-2020
11010,4.789661972587362,2019-2020
11023,3.63361298966305,2019-2020
11033,3.8049016692260955,2019-2020
12000,6.748976389476025,2019-2020
12001,7.373762431602042,2019-2020
12002,1.756532526067668,2019-2020
12005,2.7089941530372554,2019-2020
12010,4.565983175849048,2019-2020
12017,7.392568302198345,2019-2020
12023,7.3085402426411985,2019-2020
12027,2.975165022551764,2019-2020
12036,2.7949744531730674,2019-2020
12039,10.815406374126502,2019-2020
12048,7.408615022734671,2019-2020
12051,8.84888445872244,2019-2020
12054,4.461695064040007,2019-2020
12058,4.672830176735205,2019-2020
12061,4.567927178920132,2019-2020
12067,3.5740264195362954,2019-2020
12073,3.197958204909484,2019-2020
13002,4.1121865194202645,2019-2020
14000,4.402857386549521,2019-2020
14005,5.959205584224931,2019-2020
14010,4.028609830020883,2019-2020
14015,6.944792390529768,2019-2020
14019,3.4425702900366897,2019-2020
14021,1.9488107542713091,2019-2020
14022,2.3737599754081278,2019-2020
14028,4.4743517166355815,2019-2020
15000,6.2898488008975395,2019-2020
15002,7.260364253709382,2019-2020
15005,6.637967522098909,2019-2020
15012,12.508427374685175,2019-2020
15014,2.482534795305609,2019-2020
15017,3.8197826994269715,2019-2020
15021,6.399370580900563,2019-2020
15030,3.596346603151282,2019-2020
15035,2.218050703662676,2019-2020
15041,3.458693654007128,2019-2020
16002,4.5549748025204195,2019-2020
18000,4.829175348079067,2019-2020
18001,4.172858855908385,2019-2020
18005,4.159754103796538,2019-2020
18009,6.335489510332773,2019-2020
18013,2.8696462978887163,2019-2020
18017,4.30027298538427,2019-2020
18020,3.169805338417553,2019-2020
18029,3.7622770278806525,2019-2020
18039,2.843704053732939,2019-2020
19000,4.44098505530955,2019-2020
19028,3.131177566649903,2019-2020
19036,3.3995136261197816,2019-2020
19038,4.616604790949693,2019-2020
19044,5.423011480181623,2019-2020
19046,4.777619202883447,2019-2020
19048,3.3512397448827573,2019-2020
19049,4.725676765976421,2019-2020
19054,10.16499597088569,2019-2020
19070,4.98432423001424,2019-2020
20002,2.426263770230436,2019-2020
21000,4.572342708373605,2019-2020
21005,3.484041141953297,2019-2020
21010,2.507801283447274,2019-2020
21024,4.638640218692792,2019-2020
22000,3.807740044094037,2019-2020
22001,7.428016027163495,2019-2020
22005,5.212360501653287,2019-2020
22008,11.28371485499584,2019-2020
22012,3.2988298933912246,2019-2020
22014,2.4420119137795937,2019-2020
22016,3.672395205016172,2019-2020
22019,3.8228763950493483,2019-2020
22021,5.897901393212434,2019-2020
23000,5.886200168835934,2019-2020
23001,5.88805995345275,2019-2020
23005,4.293674706347117,2019-2020
23008,4.1105208208457515,2019-2020
23010,4.408602450410848,2019-2020
23015,4.387215382267424,2019-2020
23020,5.102595460679547,2019-2020
23023,8.089767275049928,2019-2020
23040,5.226462144275246,2019-2020
24000,3.825553271617653,2019-2020
24001,3.658893182439231,2019-2020
24002,3.4657823994321433,2019-2020
24009,5.2389231783608405,2019-2020
24015,4.8491068898876355,2019-2020
25005,4.337517999440045,2019-2020
26000,7.352922176608367,2019-2020
26003,3.5456139270224147,2019-2020
26011,4.443069119001588,2019-2020
26014,8.011462676344793,2019-2020
26021,8.085532090950409,2019-2020
26028,7.515821184864692,2019-2020
26032,6.655561909051517,2019-2020
26037,6.574787597450232,2019-2020
26043,4.716927673991651,2019-2020
26047,6.727719944517601,2019-2020
26053,3.6728415286062868,2019-2020
26057,7.869104333014626,2019-2020
26065,9.632094158281074,2019-2020
28005,2.943872639944449,2019-2020
28030,10.166860241110346,2019-2020
29002,4.7264392232626085,2019-2020
29006,2.189932160481606,2019-2020
30000,5.110586681797193,2019-2020
30001,0.727617685311204,2019-2020
30006,3.530878210709903,2019-2020
30012,3.4642556074355784,2019-2020
30016,5.306361074977739,2019-2020
30018,4.509391851373377,2019-2020
30024,6.281453409034989,2019-2020
30029,-0.7368769561643883,2019-2020
31000,6.135447285507871,2019-2020
31002,4.458108787575591,2019-2020
31008,5.225135119755587,2019-2020
31011,4.196811425613099,2019-2020
31016,2.6818277841038367,2019-2020
31017,5.785702743476097,2019-2020
31035,6.445645333270076,2019-2020
32000,5.826963433751561,2019-2020
32002,6.491824944605554,2019-2020
32004,4.351481554611049,2019-2020
32011,3.3609046813217676,2019-2020
32018,2.546525617704139,2019-2020
32027,5.17926159422082,2019-2020
32038,7.300768183499164,2019-2020
32042,3.74165692429656,2019-2020
32045,6.204377637632938,2019-2020
34000,6.296513324199163,2019-2020
34003,6.221456470697295,2019-2020
34007,5.3233421201565205,2019-2020
34011,5.076758303780142,2019-2020
34015,4.679056516919155,2019-2020
34021,3.591185537666698,2019-2020
34024,6.00678958519441,2019-2020
34028,7.218754086719424,2019-2020
34035,4.019958482632196,2019-2020
36003,4.734021799609057,2019-2020
37000,6.649290542205312,2019-2020
37001,1.1340231393160796,2019-2020
37003,7.513803168574492,2019-2020
37008,6.378471045367849,2019-2020
37020,3.5552212683612896,2019-2020
37025,3.0107978953866787,2019-2020
37034,6.19280807271975,2019-2020
37039,2.7638206046632194,2019-2020
37043,3.9598200460241637,2019-2020
37049,6.908317075065224,2019-2020
38000,4.469071513642482,2019-2020
38002,3.6398001194122362,2019-2020
38005,1.9434576108577695,2019-2020
38011,4.6611865934859855,2019-2020
38016,8.994061460995905,2019-2020
38018,7.54504131318487,2019-2020
38019,4.882577297264442,2019-2020
38030,2.157069311857622,2019-2020
38031,6.03272076677144,2019-2020
38033,7.1400416203302415,2019-2020
38037,4.826643030948963,2019-2020
38040,8.525919100862449,2019-2020
39000,7.689792418332536,2019-2020
39002,2.8535787988764842,2019-2020
39003,7.447736838802895,2019-2020
39010,5.839385696467957,2019-2020
39013,6.5879239100099936,2019-2020
39020,7.154330489081555,2019-2020
39025,4.796732415503381,2019-2020
39036,5.05003283745191,2019-2020
39041,7.974211964744961,2019-2020
39057,9.676064596216708,2019-2020
40000,5.00012304922012,2019-2020
40003,5.764538957124453,2019-2020
40010,4.64850695412327,2019-2020
40015,9.725529918373677,2019-2020
40025,1.447839710465853,2019-2020
40028,1.4655512941946824,2019-2020
40030,4.926852860923545,2019-2020
40046,5.904233010093147,2019-2020
40048,11.206771777389918,2019-2020
40050,6.832482071106476,2019-2020
41000,6.4691413351585,2019-2020
41004,5.255800008758544,2019-2020
41010,6.574736872089214,2019-2020
41020,6.792274356514222,2019-2020
41030,7.739773761443662,2019-2020
41037,4.614594254537925,2019-2020
41043,7.116221474921239,2019-2020
41053,3.4764478570699753,2019-2020
41061,3.311813384343517,2019-2020
42000,4.559010517013427,2019-2020
42004,4.022295873852421,2019-2020
42005,10.82483069935187,2019-2020
42013,5.697027924858921,2019-2020
42029,3.0550369779786735,2019-2020
42031,2.4521401086138277,2019-2020
42041,4.8225848787177785,2019-2020
42047,3.9675867965827365,2019-2020
42055,2.6004137156571407,2019-2020
42059,1.647170963324352,2019-2020
43000,4.698361873234232,2019-2020
43002,3.919028525985767,2019-2020
43013,3.3638492590772806,2019-2020
43017,6.833664432585519,2019-2020
43021,6.817774029467792,2019-2020
43025,4.71453177199533,2019-2020
43030,3.4159661907393883,2019-2020
43031,3.5206157815721264,2019-2020
43040,5.270187882511272,2019-2020
43042,3.8848638877177724,2019-2020
43047,5.277626965888156,2019-2020
43050,-3.9593779825158633,2019-2020
43052,4.865250059421114,2019-2020
43064,5.224598111512436,2019-2020
43068,3.7735427199869402,2019-2020
43070,3.0817516170492847,2019-2020
43072,4.118476639771359,2019-2020
43074,4.055144413677633,2019-2020
43080,6.429703000419411,2019-2020
44000,3.4835664027662876,2019-2020
44002,2.963497481429918,2019-2020
44018,3.335340591517382,2019-2020
44027,1.4828605252402816,2019-2020
44042,5.791708625287734,2019-2020
44053,1.74991859780436,2019-2020
44065,1.9113637591738244,2019-2020
46000,5.019849815892831,2019-2020
46002,5.080880945377465,2019-2020
46011,3.4480557374191845,2019-2020
46020,3.4281511221054903,2019-2020
46024,4.2456264057247655,2019-2020
47000,3.725678701532636,2019-2020
47002,3.0646652830389582,2019-2020
47003,4.665426370211325,2019-2020
47007,2.0761698457328146,2019-2020
47015,3.127952797707638,2019-2020
47018,3.937831407481993,2019-2020
47023,1.8534902227475565,2019-2020
47030,2.9431541054850157,2019-2020
47041,4.6747669384656,2019-2020
47046,2.1143216082915957,2019-2020
47048,1.8725171243040035,2019-2020
47050,2.9361760664932532,2019-2020
47063,2.374897872986283,2019-2020
47064,1.0850658642540965,2019-2020
47068,4.132686672061627,2019-2020
47077,4.934619267139101,2019-2020
47091,2.48966458777732,2019-2020
47096,4.533214075091579,2019-2020
47098,-0.06563921597993148,2019-2020
48001,2.8877990683067107,2019-2020
48017,2.30299106478636,2019-2020
48019,4.776562970688525,2019-2020
48021,2.9112296871210286,2019-2020
48022,-3.2870232126860395,2019-2020
48026,1.0604612976637444,2019-2020
48031,2.6285408091190297,2019-2020
48034,1.4610184286887171,2019-2020
48044,3.994704533096042,2019-2020
48050,4.630420729917073,2019-2020
48069,1.1041825985687364,2019-2020
49003,1.9732871212419005,2019-2020
49005,-0.8873537664732354,2019-2020
49012,1.5779646579525666,2019-2020
49014,1.2376248215666095,2019-2020
49018,3.1451615570965923,2019-2020
49019,2.5129450046376274,2019-2020
49022,2.4113224875623884,2019-2020
49024,2.6054326022824794,2019-2020
49028,3.3775151463817967,2019-2020
49031,2.747457388529802,2019-2020
49032,3.292082454250415,2019-2020
49036,3.8720815256426357,2019-2020
49039,4.286347812289369,2019-2020
49041,5.981305685579713,2019-2020
49046,0.12090776073836207,2019-2020
49048,1.1801900015573898,2019-2020
49051,2.5083668659087652,2019-2020
49054,5.516198384513613,2019-2020
49056,1.9757024243287327,2019-2020
49058,2.959022825562125,2019-2020
49066,3.107556250349636,2019-2020
49071,3.0286684516828846,2019-2020
51001,3.2016149519288946,2019-2020
51009,4.715195227418565,2019-2020
51011,2.8479747515196454,2019-2020
51015,3.393136882346178,2019-2020
51021,5.268928239058655,2019-2020
51025,4.767044977665041,2019-2020
51026,2.494026536774253,2019-2020
51028,3.674941705422362,2019-2020
51034,4.61754023420377,2019-2020
52001,1.5478101097196832,2019-2020
52003,4.301808771665931,2019-2020
52004,3.3510676160669384,2019-2020
52007,2.0464281994788527,2019-2020
52019,2.902678837218685,2019-2020
52026,-0.263667756466957,2019-2020
52028,1.9345348137036373,2019-2020
52031,1.0655681275158544,2019-2020
52092,3.0705012698663006,2019-2020
53005,3.135324255414134,2019-2020
54001,1.7342471061959728,2019-2020
54006,0.09840641687783722,2019-2020
54008,2.7915895286153316,2019-2020
54010,1.4110090338290848,2019-2020
54014,5.918771801432684,2019-2020
54021,2.9964240601611993,2019-2020
54024,6.766977907917505,2019-2020
54026,8.135501837708773,2019-2020
54029,2.3799851298835684,2019-2020
54032,9.764797882579403,2019-2020
54034,7.757850870665278,2019-2020
54036,3.2124740217658494,2019-2020
54038,-0.0830529857022708,2019-2020
54042,0.22082398488205024,2019-2020
54047,1.61662139735428,2019-2020
54049,1.1551558595683522,2019-2020
54052,3.6524549858783466,2019-2020
54054,5.869571909981978,2019-2020
54056,1.7466720629250654,2019-2020
54058,3.9392629016913974,2019-2020
54062,5.144039810233325,2019-2020
54066,10.764306897260475,2019-2020
54068,8.313318405944138,2019-2020
56014,3.1526092679064353,2019-2020
56027,0.4597194141328557,2019-2020
56031,2.7131193265378566,2019-2020
56037,0.1831658974229248,2019-2020
56048,-0.31620014323077505,2019-2020
56052,6.03664853475186,2019-2020
56056,2.27557942843361,2019-2020
56065,4.233942251031231,2019-2020
56066,-0.01917725627871808,2019-2020
56070,3.224561611657005,2019-2020
56073,2.4801215292573593,2019-2020
56076,2.798119571761991,2019-2020
56077,3.663281233715038,2019-2020
57001,1.3041061151662223,2019-2020
57004,5.2895615857602,2019-2020
57006,-0.08927935535727004,2019-2020
57008,2.6005224248566403,2019-2020
57011,7.142198351344294,2019-2020
57014,4.01905128717816,2019-2020
57016,-10.17561971738207,2019-2020
57019,7.518463010026749,2019-2020
57021,2.442507282134418,2019-2020
57023,6.770683470221424,2019-2020
57028,3.063556596839397,2019-2020
57038,6.134526741892269,2019-2020
57039,1.2329526403306486,2019-2020
57040,4.242800029814212,2019-2020
57041,3.7250474274273437,2019-2020
57051,5.155077931493639,2019-2020
57061,2.6275665215138613,2019-2020
57066,6.864639768428329,2019-2020
57076,2.4381477546456867,2019-2020
57079,0.4528242407669052,2019-2020
57091,5.496926832191793,2019-2020
57096,5.952098912087166,2019-2020
58001,0.6784407679606307,2019-2020
58004,2.990174127285131,2019-2020
58007,5.125670142370469,2019-2020
58012,2.235664156632626,2019-2020
58016,1.9595169128880838,2019-2020
58019,8.109751294227433,2019-2020
58028,4.191700479761691,2019-2020
58034,0.5643864625681382,2019-2020
58041,-10.908300417650443,2019-2020
58044,-0.0402742457147917,2019-2020
58051,9.413920011879894,2019-2020
58054,1.230531980329378,2019-2020
58058,1.612913755636821,2019-2020
58059,1.558854435424455,2019-2020
58066,2.7295120980023517,2019-2020
59001,2.6381332991481345,2019-2020
59011,0.05892020405281049,2019-2020
59012,4.722661929842978,2019-2020
59016,6.094515336008658,2019-2020
59019,-1.088697659114072,2019-2020
59024,5.594296681347771,2019-2020
59031,5.404017568789562,2019-2020
59040,7.912414669454174,2019-2020
59042,1.9870012526163303,2019-2020
59045,4.059404566845905,2019-2020
60001,3.3656111327718077,2019-2020
60008,4.125114626750557,2019-2020
60011,1.9065244909840722,2019-2020
60021,2.548457663658902,2019-2020
60025,-0.3433351459785341,2019-2020
60034,3.0108786057985966,2019-2020
60040,-2.3248234287845,2019-2020
60042,0.5755872218642718,2019-2020
60049,6.317527554447031,2019-2020
1000,0.06565906327770499,2020-2021
1002,-2.7050181194227743,2020-2021
